address,zipcode,year_built
310 1ST AVE,48197,1869
463 S HAMILTON ST,48197,1884
110 PERRIN ST,48197,1884
574 HARRIET ST,48197,1880
218 S GROVE ST,48198,1865
403 S HURON ST,48197,1870
314 S HURON ST,48197,1885
46 S SUMMIT ST,48197,1893
601 N CONGRESS ST,48197,1870
922 N CONGRESS ST,48197,1888
9 N SUMMIT ST,48197,1884
208 PERRIN ST,48197,1890
216 BALLARD ST,48197,1880
6 W CROSS ST,48197,1840
411 N HURON ST,48197,1880
90 MAPLE ST,48198,1864
502 N HAMILTON ST,48197,1884
332 OAK ST,48198,1870
11 OAK ST,48198,1870
623 N RIVER ST,48198,1858
2960 PROSPECT RD,48198,1870
3040 PROSPECT RD,48198,1874
10945 CHERRY HILL RD,48198,1855
302 W CROSS ST,48197,1844
22 N WASHINGTON ST,48197,1860
108 PEARL ST,48197,1879
10-12 S HURON ST,48197,1858
119 W MICHIGAN AVE,48197,1890
14 S HURON ST,48197,1858
217 N WASHINGTON ST,48197,1899
931 E CROSS ST,48198,1890
201 N SUMMIT ST,48197,1880
628 N PROSPECT ST,48198,1880
7 N NORMAL ST,48197,1848
656 HARRIET ST,48197,1893
437 S HURON ST,48197,1868
423 S ADAMS ST,48197,1886
314 S WASHINGTON ST,48197,1869
305 S HURON ST,48197,1893
201-207 FERRIS ST | 100 S WASHINGTON ST,48197,1835
610 N CONGRESS ST,48197,1870
316 PEARL ST,48197,1870
127 N NORMAL ST,48197,1844
126 N SUMMIT ST,48197,1850
422 WASHTENAW AVE,48197,1879
227 N GROVE ST,48198,1861
408 N HURON ST,48197,1850
1301 WASHTENAW AVE,48197,1895
417 N ADAMS ST,48197,1864
201 OAK ST,48198,1886
830 W CLARK RD,48198,1850
3105 BERRY RD,48198,1870
3401 BERRY RD,48198,1870
103 W MICHIGAN AVE,48197,1890
9160 S HURON RIVER DR,48197,1890
528 MAUS AVE,48198,1899
574 DAVIS ST,48198,1890
111 CATHERINE ST,48197,1865
417 EMMET ST,48197,1864
218 FERRIS ST,48197,1898
9 S SUMMIT ST,48197,1893
17 N SUMMIT ST,48197,1860
112 N PROSPECT ST,48198,1884
314 WASHTENAW AVE,48197,1896
226 N PROSPECT ST,48198,1894
912 SHERIDAN ST,48197,1845
302 MILES ST,48198,1886
900 OAKWOOD ST,48197,1895
117 E CROSS ST,48198,1849
305 E CROSS ST,48198,1875
322 MAPLE ST,48198,1854
214 OAK ST,48198,1850
615 N RIVER ST,48198,1880
2847 HARRIS RD,48198,1870
8615 CHERRY HILL RD,48198,1830
24 N WASHINGTON ST,48197,1871
114 W MICHIGAN AVE,48197,1860
116 W MICHIGAN AVE,48197,1851
623 N ADAMS ST,48197,1890
6677 WILLIS RD,48197,1890
107-109 BELL RD,48197,1840
99-101 BELL RD,48197,1840
316 S WASHINGTON ST,48197,1869
306 S WASHINGTON ST,48197,1884
505 EMMET ST,48197,1870
314 SOUTH ST,48198,1884
12 S SUMMIT ST,48197,1860
711 N CONGRESS ST,48197,1893
415 PEARL ST,48197,1869
516-518 PEARL ST,48197,1884
148 N WASHINGTON ST,48197,1899
126 COLLEGE PL,48197,1890
125 N SUMMIT ST,48197,1864
212 WASHTENAW AVE,48197,1871
608 WASHTENAW AVE,48197,1895
315 N PROSPECT ST,48198,1880
506 EMMET ST,48197,1840
300 N HURON ST,48197,1860
605 W CROSS ST,48197,1890
56 E CROSS ST,48198,1859
900 OAKWOOD ST,48197,1896
12 OAK ST,48198,1856
513 N WASHINGTON ST,48197,1895
314 E FOREST AVE,48198,1890
822 N RIVER ST,48198,1884
8589 MARTZ RD,48197,1857
429 S HURON ST,48197,1858
113 N SUMMIT ST,48197,1879
409 EMMET ST,48197,1864
205 S WASHINGTON ST,48197,1850
111 S ADAMS ST,48197,1876
35 S SUMMIT ST,48197,1850
19 S NORMAL ST,48197,1892
6 S WASHINGTON ST,48197,1880
717 N CONGRESS ST,48197,1890
11 W MICHIGAN AVE,48197,1888
616-618 N CONGRESS ST,48197,1890
507 PEARL ST,48197,1893
107 BABBITT ST,48198,1870
95 OAKWOOD AVE,48197,1895
172 N WASHINGTON ST,48197,1844
218 N RIVER ST,48198,1880
601 W CROSS ST,48197,1890
302 N HURON ST,48197,1860
416 E CROSS ST,48198,1850
451 ANNA AVE,48197,1865
321 E CROSS ST,48198,1876
412 N WASHINGTON ST,48197,1860
305 MAPLE ST,48198,1870
417 MAPLE ST,48198,1844
9625 GEDDES RD,48198,1870
207 W MICHIGAN AVE,48197,1880
207 OLIVE ST,48197,1884
7750 WILLIS RD,48197,1898
7690 TUTTLE HILL RD,48197,1858
810 JEFFERSON ST,48197,1880
430 S HURON ST,48197,1819
113 BUFFALO ST,48197,1890
220 S HURON ST,48197,1870
513 EMMET ST,48197,1890
106 S HAMILTON ST,48197,1884
213 FERRIS ST,48197,1883
20 S GROVE ST,48198,1879
605 N CONGRESS ST,48197,1883
704 N CONGRESS ST,48197,1894
93 OAKWOOD AVE,48197,1896
109 N RIVER ST,48198,1850
119 N HAMILTON ST,48197,1870
127 COLLEGE PL,48197,1885
205 PERRIN ST,48197,1890
207 PERRIN ST,48197,1890
302 N NORMAL ST,48197,1895
307 N WASHINGTON ST,48197,1840
312 MILES ST,48198,1873
415 BALLARD ST,48197,1880
418 FLORENCE ST,48197,1885
422 N RIVER ST,48198,1875
206 MAPLE ST,48198,1844
431 N HAMILTON ST,48197,1898
508 N HAMILTON ST,48197,1880
629 N ADAMS ST,48197,1893
36 E CROSS ST,48198,1870
505 WASHTENAW AVE,48197,1884
4380 BEMIS RD,48197,1870
433-435 S HURON ST,48197,1868
114 N SUMMIT ST,48197,1880
112 PERRIN ST,48197,1884
206 S HAMILTON ST,48197,1879
801 W MICHIGAN AVE,48197,1880
202 S HURON ST,48197,1830
119 S WASHINGTON ST,48197,1865
309 SOUTH ST,48198,1884
101 S WASHINGTON ST,48197,1843
27 S HURON ST,48197,1850
12 S NORMAL ST,48197,1883
814 N CONGRESS ST,48197,1890
17-23 N WASHINGTON ST,48197,1822
101 E FOREST AVE,48198,1873
110 N RIVER ST,48198,1814
110 NORTH ST,48198,1890
113 N HAMILTON ST,48197,1890
120 N SUMMIT ST,48197,1840
120 BALLARD ST,48197,1884
206 N RIVER ST,48198,1869
203 N WASHINGTON ST,48197,1894
208 BALLARD ST,48197,1894
304-306 PERRIN ST,48197,1870
415 N HURON ST,48197,1879
410 MAPLE ST,48198,1896
427 N HAMILTON ST,48197,1893
409 MAPLE ST,48198,1896
205 OAK ST,48198,1885
210 ARCADE ST,48197,1894
209 OAK ST,48198,1850
525 N ADAMS ST,48197,1888
614 N ADAMS ST,48197,1885
631 N ADAMS ST,48197,1845
1720 LEFORGE RD,48198,1832
7155 CHERRY HILL RD,48198,1850
8401 CHERRY HILL RD,48198,1870
110 W MICHIGAN AVE,48197,1860
414 E MICHIGAN AVE,48198,1870
4740 MUNGER RD,48197,1890
437 2ND AVE,48197,1884
307 S PROSPECT ST,48198,1890
317 CHIDESTER ST,48197,1890
507 EMMET ST,48197,1885
410 E CROSS ST,48198,1870
210 FERRIS ST,48197,1890
214-218 W MICHIGAN AVE,48197,1884
615 PEARL ST,48197,1880
702 PEARL ST,48197,1879
108 N NORMAL ST,48197,1870
107 PERRIN ST,48197,1864
313 WASHTENAW AVE,48197,1870
226 N SUMMIT ST,48197,1885
948-950 SHERIDAN ST,48197,1875
309 N PROSPECT ST,48198,1870
929 W CROSS ST,48197,1888
302 E CROSS ST,48198,1879
708 E CROSS ST,48198,1878
209 ARCADE ST,48197,1895
411 BALLARD ST,48197,1888
501 N WASHINGTON ST,48197,1844
520 N HAMILTON ST,48197,1869
305 OAK ST,48198,1880
323 OAK ST,48198,1890
118 E FOREST AVE,48198,1875
350 W CLARK RD,48198,1870
1866 HARRIS RD,48198,1870
6820 PLYMOUTH-ANN ARBOR RD,48198,1800
23-25 E CROSS ST,48198,1869
52 E CROSS ST,48198,1859
6450 BEMIS RD,48197,1875
2324 W MICHIGAN AVE,48197,1860
112 WOODWARD ST,48197,1893
701 W MICHIGAN AVE,48197,1878
31 S GROVE ST,48198,1874
300 E MICHIGAN AVE,48198,1870
419 PEARL ST,48197,1894
106 N RIVER ST,48198,1860
115 BALLARD ST,48197,1859
417 WASHTENAW AVE,48197,1880
411 LOCUST ST,48198,1880
711 WASHTENAW AVE,48197,1893
310 N HAMILTON ST,48197,1894
718 E CROSS ST,48198,1850
201 E CROSS ST,48198,1880
113 E CROSS ST,48198,1884
308 MAPLE ST,48198,1899
426 N HURON ST,48197,1880
811 LOWELL ST,48197,1854
7485 CHERRY HILL RD,48198,1870
3385 GOTFREDSON RD,48198,1870
3620 GOTFREDSON RD,48198,1835
400 N RIVER ST,48198,1861
834 JEFFERSON ST,48197,1882
411 2ND AVE,48197,1894
214 N SUMMIT ST,48197,1880
